id,title,Rating,maincateg,platform,actprice1,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1
4521,"Relax Reflexology Sandals, One Pair of Accupressure Slippers Foot Therapy Massage Slippers with Acupuncture Points for Plantar Fasciitis Non-Slip Healthy Flip Flops for Men Flip Flops",3.6,Women,Flipkart,399,3220,414,1314,640,514,303,449,0
8402,Flip Flops,3.8,Women,Flipkart,399,113,13,48,28,17,7,13,0
8485,Men Grey Clogs Sandal,4.1,Men,Flipkart,849,1675,328,870,466,166,60,113,0
7561,Men Navy Sports Sandal,4.2,Men,Flipkart,499,17035,2103,9223,4219,1888,614,1091,1
9885,Flip Flops,3.9,Men,Flipkart,599,2763,281,1449,460,347,196,311,0
2582,Women Black Flats Sandal,4.1,Women,Flipkart,999,280,53,158,55,33,17,19,1
8209,Women Black Wedges Sandal,3.9,Women,Flipkart,499,465,67,208,115,61,34,47,0
13611,Sneakers For Women  (White),4.2,Women,Flipkart,999,191,30,116,25,31,7,12,1
13591,Mojaris For Men  (Maroon),3.4,Men,Flipkart,699,8,1,4,0,1,1,2,0
9676,"Ruhi-04-BGreenGreen Running Shoes For Women  (Green, Blue)",4,Women,Flipkart,599,4416,670,2112,1185,589,191,341,1
13851,Women's | Girls Trendy Comfortable Casual wear Lace-Up Shoes Sneakers For Women  (White),4.3,Women,Flipkart,999,481,72,292,98,48,15,28,1
16691,Women Brown Heels Sandal,4.3,Women,Flipkart,999,255,51,167,39,18,10,21,0
17785,Girls Stylish Casual Sports Shoe Running Shoes For Women  (White),4.2,Women,Flipkart,999,185,26,105,40,18,7,13,1
18685,Running Shoes For Men  (Black),3.8,Men,Flipkart,999,222,22,117,34,22,15,34,0
3369,Men Brown Sandal,3.9,Men,Flipkart,1499,76,12,35,17,11,4,9,1
16066,Women Pink Heels Sandal,4,Women,Flipkart,1499,350,48,187,66,48,25,24,1
3003,Slides,3.9,Men,Flipkart,1497,136,15,72,21,19,10,14,1
18981,Jutis For Women  (Pink),4,Women,Flipkart,499,1428,145,812,220,155,96,145,0
13554,Latest Collection Comfortable & Fashionable Casual Bellies for Women's & Girl's Ballet - Cream Bellies For Women  (Beige),4.2,Women,Flipkart,1096,287,49,165,69,24,11,18,1
11588,Royal Jutis For men Mojaris For Men  (Black),,,Flipkart,899,41,7,22,9,3,1,6,0
16379,Derby For Men  (Brown),4.2,Men,Flipkart,6299,135,18,78,26,17,8,6,1
12575,Boots For Women  (Black),4.2,Women,Flipkart,999,111,14,65,24,9,3,10,0
9249,Women Black Wedges Sandal,4.2,Women,Flipkart,279,3049,487,1745,679,348,114,161,1
15449,Flip Flops,,,Flipkart,499,3073,401,1248,517,510,274,,1
20597,Sneakers For Men  (Blue),4.1,Men,Flipkart,999,4489,597,2673,639,446,263,468,1
12342,"Men Black, Blue Sports Sandal",,Men,Flipkart,2499,52,5,,13,6,4,,1
9065,Sneakers For Men  (Black),,Men,Flipkart,999,2465,274,1408,407,258,137,,0
17968,Women Maroon Heels Sandal,4,Women,Flipkart,999,2795,380,1362,670,390,154,219,0
17803,Combo Pack of 4 Affordable Range of Stylish Casual Comfortable Sports Shoes Running Shoes For Men Running Shoes For Men  (Multicolor),3.7,Men,Flipkart,1996,101,13,44,23,13,3,18,1
13495,Men Beige Sandal,3.5,Men,Flipkart,999,256,25,90,54,40,27,45,1
11078,Men Black Clogs Sandal,4.2,Men,Flipkart,2995,12390,1098,6891,3100,1035,429,935,1
19475,Women Off White Wedges Sandal,4.2,Women,Flipkart,1299,183,30,88,60,11,11,9,1
19860,"Red Gold Party wear punjabi Party Wear For Women  (Red, Gold)",4.1,Women,Flipkart,599,193,31,105,46,19,8,15,0
805,Women White Heels Sandal,4.1,Women,Flipkart,866,743,99,699,19,12,32,63,1
1,Unistar Men's Boots,4.2,Men,Amazon,941,1,1,6,3,9,13,66,1
13151,Walking Shoes For Women  (Black),4.1,Women,Flipkart,999,7100,938,3644,1706,930,352,468,1
4133,Conbird Brown Indian Ethnic Loafers Loafers For Men  (Brown),2.6,Men,Flipkart,1999,7,0,2,0,1,1,3,1
446,Women Beige Wedges Sandal,4.2,Women,Flipkart,1125,165,24,80,34,17,5,16,1
18830,Men Tan Flats Sandal,4.4,Men,Flipkart,2299,76,10,49,15,6,2,4,1
7909,"Running, Jimming, Walking,Sports Casual Shoes Casuals For Men  (Brown)",4,Men,Flipkart,999,150,12,75,29,24,12,10,0
13969,Ricordo IDP Flip Flops,4.1,Men,Flipkart,1999,69,2,39,13,7,5,5,1
6901,Wmns Sb Check Solar Cnvs Running Shoes For Women  (Blue),4.2,Women,Flipkart,4795,157,27,87,41,15,5,9,1
3961,PTPRIMERUN2.0 Walking Shoes For Women  (Navy),4.7,Women,Flipkart,5999,11,0,8,3,0,0,0,1
10150,Women Blue Sports Sandal,3.6,Women,Flipkart,2495,16,2,8,1,2,2,3,0
4490,Women Black Heels Sandal,5,Women,Flipkart,999,3,1,3,0,0,0,0,0
5897,Jutti Mojaris For Women  (Red),4.1,Women,Flipkart,499,32,3,18,5,4,3,2,0
20844,Jutis For Women  (Multicolor),3.9,Women,Flipkart,999,274,58,133,54,38,21,28,1
19011,Class Men Synthetic Leather Slip On Shoes For Men  (Black),3.9,Men,Flipkart,1599,292,36,122,79,46,17,28,1
18577,Party Wear For Men  (Brown),4.3,Men,Flipkart,999,8,0,5,1,1,1,0,0
3555,"Women Black, Blue Sports Sandal",4.4,Women,Flipkart,1020,15,2,10,3,1,0,1,1
15716,Mojaris For Men  (Brown),4.1,Men,Flipkart,999,949,106,517,190,116,47,79,1
20324,Women Pink Wedges Sandal,4.2,Women,Flipkart,999,1797,232,1000,413,205,83,96,0
18654,Men Black Clogs Sandal,4,Men,Flipkart,3995,468,48,239,112,32,25,60,1
8184,Slides,4.1,Women,Flipkart,499,872,141,459,210,89,47,67,1
4349,Canvas Shoes For Men  (Grey),3.7,Men,Flipkart,499,18930,2387,8731,3335,2739,1386,2739,1
13737,Flip Flops,4,Women,Flipkart,499,92,15,47,21,11,6,8,0
10749,Women Black Flats Sandal,4.1,Women,Flipkart,999,375,50,179,107,53,16,22,1
19921,Walking Shoes For Men  (Blue),4.1,Men,Flipkart,999,1659,208,928,311,200,88,132,1
15467,Casuals For Men  (Multicolor),3.7,Men,Flipkart,1499,1364,190,678,202,172,86,226,1
10725,Women Black Heels Sandal,4.1,Women,Flipkart,649,969,212,513,245,94,37,80,0
18354,Running Shoes For Men  (Tan),4,Men,Flipkart,999,8010,927,4512,1261,956,459,822,1
153,Women Orange Sports Sandal,3.5,Women,Flipkart,953,2,1,4,2,1,2,4,1
8961,Men Brown Sandal,3.3,Men,Flipkart,1499,8,1,2,3,0,1,2,1
501,Lace Up For Men  (Brown),4,Men,Flipkart,981,93,9,54,23,14,2,10,1
18332,Wedge Slippers,,Women,Flipkart,249,412,60,211,118,41,19,,1
4068,Slippers,3.7,Men,Flipkart,1499,943,113,438,161,119,85,140,1
13206,"Perfect Stylish,Trending High Ankle Boots For Women  (Grey)",4.2,Women,Flipkart,999,6884,1175,4221,1274,624,282,483,0
15926,Perfect Stylish Girls Casual Shoes Sneakers For Women  (Grey),4.3,Women,Flipkart,999,10481,1530,6224,2259,1049,370,579,1
20705,Alley Walk Women's Fashion Comfortable Slip-on Chain Decorated Loafers Bellies Low Heels Almond Toe Casual Daily Mule Sandals,4.4,Women,Amazon,349,33,19,4,0,10,19,67,0
15433,Women Tan Flats Sandal,4.1,Women,Flipkart,999,1035,141,596,194,113,40,92,1
16477,Women Black Heels Sandal,4.2,Women,Flipkart,999,678,130,380,149,75,28,46,1
15608,Running Shoes For Men  (Blue),4,Men,Flipkart,999,54,2,27,11,8,3,5,1
4957,Flip Flops,3.8,Women,Flipkart,499,117,13,54,20,9,8,17,0
9095,Women Copper Heels Sandal,3.8,Women,Flipkart,897,50,6,21,12,8,4,5,0
12618,Women White Heels Sandal,4,Women,Flipkart,999,2767,391,1399,574,336,173,285,1
17259,Mirror Thread Work Jutti Jutis For Women  (Yellow),3.8,Women,Flipkart,499,335,47,181,42,39,21,52,0
6906,Women Pink Heels Sandal,4,Women,Flipkart,799,153,15,75,36,16,13,13,0
20713,Slides,,Women,Flipkart,599,692,74,341,138,99,30,84,0
15305,"Women SL-152 Grey Pink Walking Shoes For Women  (Grey, Pink)",4.3,Women,Flipkart,999,695,93,396,194,59,19,27,1
5370,Corporate II Office Formal shoes Slip On For Men  (White),4.1,Men,Flipkart,999,363,57,202,65,50,19,27,0
20079,"Bouncer-01 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight black shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Black, Gold)",4.1,Men,Flipkart,999,11780,1748,6343,2501,1268,644,1024,1
5574,Women Red Heels Sandal,,,Flipkart,699,7128,1203,3846,1358,797,333,,0
8049,Men Black Clogs Sandal,2.9,Men,Flipkart,499,697,106,200,87,110,76,224,0
3493,Bounder-Vertville Slip On Sneakers For Men  (Black),4.4,Men,Flipkart,4999,298,39,193,70,15,6,14,1
7390,Boots For Women  (Multicolor),4.3,Women,Flipkart,999,146,28,93,29,11,7,6,1
12996,"Running Shoe, Gym, Walking Daily Wear Running Shoes For Men  (Green)",4,Men,Flipkart,999,169,18,93,31,16,17,12,1
150,Slippers,4.1,Women,Flipkart,668,1162,133,901,225,160,45,76,1
7941,Light Weight Sports Shoes Walking Shoes For Men  (Multicolor),3.8,Men,Flipkart,999,4498,525,2224,826,564,317,567,1
16993,Slides,3.5,Men,Flipkart,999,926,110,422,106,113,77,208,1
18502,Women Copper Heels Sandal,4.2,Women,Flipkart,999,664,106,393,132,62,24,56,1
1046,Women Beige Bellies Sandal,4,Women,Flipkart,749,495,66,255,104,67,31,38,0
17121,Men Synthetic Leather Chappal (Tan) Slippers,3.6,Men,Flipkart,900,16357,2040,6747,3083,2548,1416,2563,1
15629,PRO-NP-AW07 Slip On Sneakers For Men  (Black),4,Men,Flipkart,1899,8412,1167,3875,2260,1083,458,736,1
18932,"Women SL-126 Grey Pink Walking Shoes For Women  (Pink, Grey)",4.2,Women,Flipkart,949,3223,474,1738,875,324,107,179,1
8131,Synthetic Leather Casual Partywear Boots Shoes For Women And Girls Boots For Women  (White),4.1,Women,Flipkart,999,424,52,231,84,50,21,36,0
6926,Walking Shoes For Men  (White),3.7,Men,Flipkart,999,3443,424,1613,584,487,259,500,0
11131,Stylish and Comfortable Shoes For Man | Casual Office Wear Shoes for Man Lace Up For Men  (Tan),4.2,Men,Flipkart,999,416,56,0,0,0,0,0,0
10941,Flip Flops,3.8,Men,Flipkart,799,64,8,32,11,5,5,11,0
12030,Men Synthetic Leather Chappal (Brown) Flip Flops,3.8,Men,Flipkart,900,46667,5709,21274,8848,6879,3392,6274,1
17959,"Slip On Sneakers For Women  (White, White)",4.2,Women,Flipkart,799,86,13,48,21,9,2,6,1
14464,Slip On For Men  (Black),4.3,Men,Flipkart,799,382,55,0,0,0,0,0,0
18288,"Walking Shoes For Men (Red, Black) Running Shoes For Men  (Black)",4.1,Men,Flipkart,599,29,3,20,3,0,2,4,0
17404,CLAIRE (Collector's Edition) Running Shoes For Women  (Purple),4.4,Women,Flipkart,1299,2669,465,1687,662,176,53,86,1
930,Jaro Fresh Wn s Running Shoes For Women  (Black),5,Women,Flipkart,4282,15,2,20,2,2,2,8,1
10001,Jutis For Men  (Brown),3.6,Men,Flipkart,999,8,1,4,1,1,0,2,0
7044,Muse 2 Reptile TZ Wn s Walking Shoes For Women  (White),3.8,Women,Flipkart,5999,6,0,3,1,1,0,1,1
17375,Running Shoes For Men  (Navy),3.5,Men,Flipkart,999,6094,658,2774,730,737,602,1251,0
13231,Longwalk Women Casual Wear Sneakers Shoes Pack of 1,4.1,Women,Amazon,299,10,8,13,0,13,13,62,0
3147,Men Black Sports Sandal,4.1,Men,Flipkart,1999,61,4,31,20,3,2,5,1
4856,Women Copper Flats Sandal,4.2,Women,Flipkart,899,410,44,202,129,49,12,18,1
14757,Women Gold Flats Sandal,4.2,Women,Flipkart,1295,25,3,14,5,3,2,1,1
14918,Slides,4.7,Women,Flipkart,999,6,2,4,2,0,0,0,0
10947,Flip Flops,3.6,Women,Flipkart,499,77,10,32,16,10,7,12,0
17853,Bow & Braids Bellies For Women  (Black),4.1,Women,Flipkart,899,383,57,203,82,52,16,30,0
6359,Jungle Boots- Oil Stain & Water Resistant- Extra Cushion InnerSole -Light Weight Trekking Boots For Men  (Black),4.3,Men,Flipkart,1399,4881,943,2862,1159,445,169,246,1
14331,Women Black Heels Sandal,4.3,Women,Flipkart,799,261,56,146,70,26,11,8,1
6111,Women Beige Wedges Sandal,4,Women,Flipkart,533,1233,208,636,250,154,63,130,0
20276,Quest 2 Running Shoe For Men  (Black),,,Flipkart,5995,325,58,205,62,29,9,,1
10660,ALLENGLAND15 Badminton Shoes For Men  (White),4.2,Men,Flipkart,3125,299,52,161,88,21,11,18,1
4222,Women Pink Flats Sandal,4.1,Women,Flipkart,999,1036,141,596,194,113,40,92,1
20592,Sneakers For Women  (Pink),4.2,Women,Flipkart,999,52,7,31,12,3,2,4,1
1023,Cruxston Wn s MU IDP Running Shoes For Women  (Beige),4.9,Women,Flipkart,3999,15,3,13,2,0,0,0,1
14844,"Combo pack of 2, casual, sneaker shoes for men For Men  (Multicolor)",3.6,Men,Flipkart,998,24436,2783,11443,3156,3010,2332,4495,1
11145,Derby For Men  (Black),4.3,Men,Flipkart,999,70,6,43,15,4,3,5,1
12578,Slip On For Women  (Black),4.3,Women,Flipkart,999,3,0,1,2,0,0,0,0
8668,Women Black Wedges Sandal,3.7,Women,Flipkart,499,4064,492,1722,865,646,334,497,1
18474,Longwalk Women Casual Sneakers Shoes,4.5,Women,Amazon,454,37,19,7,0,7,14,72,0
9807,Men's Black ankle lenght High Tops For Men  (Black),4,Men,Flipkart,699,7145,727,4293,905,714,418,815,0
15911,Catwalk Tan Leather Mules for Women's,4.2,Women,Amazon,1421,117,54,8,7,6,16,63,1
3721,Boots For Women  (Brown),4.1,Women,Flipkart,1699,51,5,25,10,13,1,2,0
19353,ROYCE-2 Running Shoes For Men  (Blue),4.2,Men,Flipkart,1049,49102,7249,27267,11914,4923,1871,3127,1
17362,"Men Orange, Khaki Casual Sandal",3.9,Men,Flipkart,998,164,12,86,27,19,11,,1
11120,Latest Ladies Sports Lace Super Soft Running Shoes and comfortable Sneakers with Inner Fur Casuals For Women  (White),4.3,Women,Flipkart,999,152,26,102,24,8,8,10,0
18867,Bellies For Women  (Tan),3.9,Women,Flipkart,749,262,37,124,57,43,15,23,0
17178,Mojaris For Men  (Maroon),4,Men,Flipkart,499,145,15,68,35,24,8,10,1
6879,"ENCOUNTER 7 Football Shoes For Men  (Blue, Yellow)",4,Men,Flipkart,585,721,112,359,160,86,39,77,1
4802,Men Brown Flats Sandal,4.1,Men,Flipkart,799,85,15,48,18,9,3,7,0
15451,"Bellies Jutis For Women  (Blue, Gold)",3.8,Women,Flipkart,499,57,6,26,16,3,2,10,0
15857,Nagda Casuals For Men  (Tan),3.7,Men,Flipkart,999,108,12,56,13,14,4,21,0
3179,Flip Flops,3.8,Men,Flipkart,1499,196,19,92,44,21,12,27,1
7258,Ethics Men's Sports Shoes,3.3,Men,Amazon,549,1,505,25,8,13,18,36,0
6247,"Jio-13 Running Shoes For Men  (Black, Grey)",4.1,Men,Flipkart,599,289972,45448,151193,74037,34978,11705,18060,1
14378,Fashion Outdoor Canvas Casual Light Weight Partywear Sneakers Shoes For Men's And Boys Sneakers Casuals For Men  For Men  (White),3.9,Men,Flipkart,1999,267,32,142,41,28,19,37,0
9308,BEURTA Sneakers For Women  (Grey),4.5,Women,Flipkart,2099,391,54,253,114,21,5,5,1
8879,Floral Gold Silk Sherwani Jutti Jutis For Men (Gold) Jutis For Men  (Gold),3.8,Men,Flipkart,799,25,2,13,3,4,1,4,0
9484,Loafers for Men ( Black 06 ) Loafers For Men  (Black),4.2,Men,Flipkart,999,1624,181,924,371,162,63,104,0
7676,SL 164 Walking Shoes For Women  (Blue),4.4,Women,Flipkart,999,1944,345,1198,528,121,38,59,1
14419,"2 Combo Shoes For Girls Stylish Lastest Fashion Casual Canvas Sneakers Sneakers For Women  (Grey, White)",4,Women,Flipkart,1499,137,20,79,20,15,8,15,1
19097,Flip Flops,3.7,Men,Flipkart,499,14439,1671,6745,2299,1889,1196,2310,1
168,Lace Up For Men  (Brown),4.6,Men,Flipkart,2751,5,0,4,3,1,3,2,0
4427,jutties Jutis For Men  (Black),3.8,Men,Flipkart,499,397,44,205,61,42,27,62,0
12771,Hush Berry Mens Loafer for Mens Casuals For Men  (Black),3.9,Men,Flipkart,1249,1406,155,653,320,189,99,145,1
17299,Casuals For Men  (Black),3.7,Men,Flipkart,999,44,8,20,9,3,6,6,0
5118,Women Pink Flats Sandal,4,Women,Flipkart,999,579,61,316,117,55,36,55,1
12040,For Women  (Pink),3.9,Women,Flipkart,1299,54,3,26,13,4,4,7,0
13747,Combo Pack Of 2 Casual Shoes Loafers For Men  (Multicolor),3.9,Men,Flipkart,1299,249,31,122,54,33,18,22,1
18751,Men Synthetic Leather Chappal (Brown) Slippers,3.6,Men,Flipkart,999,461,64,198,69,80,46,68,1
5227,jutties Jutis For Men  (Black),3.7,Men,Flipkart,999,11,0,4,3,2,1,1,0
12100,Traditional Leather Punjabi Mojaris / Juttis Mojaris For Men  (Black),4.8,Men,Flipkart,1499,19,1,16,2,1,0,0,0
17604,Party Wear+Official+Formal Shoes Lace Up For Men  (Black),3.8,Men,Flipkart,999,152,19,79,25,15,11,22,0
1218,"1258-1259 casual shoe Casuals For Men  (Red, Black)",3.3,Men,Flipkart,998,28,2,13,2,2,2,9,0
18775,Jutis For Women  (Pink),3.9,Women,Flipkart,599,339,51,174,63,44,23,35,0
10853,Women's Brown Color Flip-Flops and House Slippers,4.1,Women,Flipkart,299,224,21,125,44,21,13,21,1
3168,Flip Flops,3.7,Men,Flipkart,799,11771,1310,5083,2358,1592,878,1860,0
14636,Men Hawaii Flip Flops,3.7,Men,Flipkart,499,13702,1813,6200,2605,1898,1075,1924,1
7927,Bellies For Women  (Black),3.9,Women,Flipkart,499,216,24,108,39,34,6,29,1
17035,Men Brown Sandal,3.9,Men,Flipkart,1499,1366,191,637,300,208,81,140,0
8762,Training & Gym Shoes For Men  (Black),3.6,Men,Flipkart,999,891,64,470,86,68,78,189,0
2152,Slides,4,Women,Flipkart,999,302,41,165,53,42,15,27,0
17152,Bellies For Women  (Black),3.8,Women,Flipkart,499,3202,412,1475,614,480,224,409,1
9824,Women Black Wedges Sandal,4,Women,Flipkart,499,78,12,42,9,15,8,4,1
8142,Wmns Flex 2018 Rn Running Shoes For Women  (White),4.1,Women,Flipkart,7495,64,9,32,18,8,3,3,1
15932,Boots For Women  (Tan),4.2,Women,Flipkart,1499,204,40,115,42,25,10,12,1
1141,Ethics Men's Sports Shoes,3.3,Men,Amazon,549,1,505,25,8,13,18,36,0
17330,Nike Quest 3Men's Running Shoe Running Shoes For Men  (Black),4.4,Men,Flipkart,5995,20,2,16,1,0,2,1,1
19889,Jutis For Men  (Tan),4.1,Men,Flipkart,799,44,7,28,3,7,0,6,0
4915,Original Training & Gym Shoes For Men  (Brown),3.9,Men,Flipkart,1499,1341,178,689,242,166,74,170,1
693,"Men Blue, Grey Sports Sandal",3.6,Men,Flipkart,1180,2569,346,1006,512,799,193,395,1
14449,Men Blue Sandal,4,Men,Flipkart,699,1041,169,505,288,112,51,85,1
1975,casual for men sneaker shoes high top shoes stylish High Tops For Men  (Black),4.1,Men,Flipkart,999,6000,732,3636,879,598,296,591,1
4055,High Ankle Boots For Men  (Tan),4.1,Men,Flipkart,999,1554,230,851,311,170,74,148,1
13336,Sports Mesh Running Shoes For Women  (Green),4,Women,Flipkart,899,937,130,448,257,101,42,89,1
15678,Women Black Heels Sandal,4.2,Women,Flipkart,1199,53,7,32,11,3,3,4,0
8491,Girls Stylish & Comfortable | Casual | Party Wear Boots For Women  (Black),4.2,Women,Flipkart,999,1259,218,729,265,113,58,96,1
15115,WILLY-2 Bellies For Women  (Red),,,Flipkart,499,44,3,11,14,4,6,,1
14146,Loafers For Men  (Green),4,Men,Flipkart,999,768,91,393,179,92,42,62,1
19296,Men Multicolor Sports Sandal,,Men,Flipkart,699,16865,2400,9011,4413,1861,618,,1
13281,Women Tan Flats Sandal,3.1,Women,Flipkart,999,89,12,26,10,19,13,21,0
